,Title,Published_date,Views,Likes,Favorites,Comments,Month
66,Rimjhim | Saradindu Bandyopadhyay | Golpo Goldmine | Mirchi Bangla | Ep 1| Romantic Audio Drama,2025-08-07,102223,2640,0,158,Aug
67,Sei Canvas | Ager Kotha | Ep 8 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-06,4315,130,0,7,Aug
68,Krishna Katha | Krishna O Sudama | Times of Puraan | Mirchi Bangla Audio Story | Episode 34,2025-08-06,11272,480,0,32,Aug
69,রবীন্দ্রনাথের রাজনৈতিক প্রতিবাদ কীভাবে প্রকাশ পেয়েছিল? #shorts,2025-08-06,4897,220,0,3,Aug
70,গৌরব ব্যোমকেশ চক্রবর্তী কোন বিষয়ে সব থেকে বেশি লোভী?,2025-08-06,22985,1535,0,51,Aug
71,Sohini Sengupta for the first time on Sunday Suspense ! #shorts,2025-08-06,29886,1008,0,38,Aug
72,জন্মাষ্টমীর প্রাক্কালে শুনুন কৃষ্ণের জন্মবৃত্তান্ত শুধুমাত্র #TimesofPuraan-এর কৃষ্ণকথা-তে!,2025-08-06,5011,111,0,1,Aug
73,Sei Canvas | Chayamurti | Ep 7 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-05,4982,159,0,5,Aug
74,Haar Heem Horror | Season 4 | Ashukh | EP 37 | Bangla Horror Story | Mirchi Bangla,2025-08-05,30702,899,0,41,Aug
75,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla Audio Story | Episode 12,2025-08-05,30883,1480,0,216,Aug
76,Tomar favourite #TrueCrime series ba movie konta? Janao comments e! #CrimeKatha Episode 1 !,2025-08-05,7065,213,0,3,Aug
77,রক্তাক্ত ভারতবর্ষ। স্বাধীনতা সংগ্রামের আগুনে উত্তপ্ত গোটা দেশ। এই আবহে এক রহস্যজনক খুন। তিনি ফিরছেন,2025-08-05,15543,662,0,34,Aug
78,Sei Canvas | Akromon | Ep 6 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-04,4078,131,0,9,Aug
79,Swadhinotar Mashe Episode 1 featuring Souvik Guha Sarkar #shorts,2025-08-04,15190,908,0,10,Aug
80,Ghor is now streaming on the Mirchi Bangla Youtube Channel & Gaana App!,2025-08-04,23132,1926,0,12,Aug
81,Sunayana kon notun invention-er kotha bolche?,2025-08-04,11839,491,0,10,Aug
82,Crime Katha is now streaming on the Mirchi Bangla Youtube Channel & Gaana App!,2025-08-04,4191,77,0,1,Aug
83,What The Comment? EP:3 Ft. Arunima,2025-08-04,7747,314,0,10,Aug
